state_name,active,cured,death,lat,long
Andaman and Nicobar Islands,11,7629,7489,11.66702557,92.73598262
Andhra Pradesh,8550,2055306,2032520,14.7504291,78.57002559
Arunachal Pradesh,419,54844,54146,27.10039878,93.61660071
Assam,4144,604218,594163,26.7499809,94.21666744
Bihar,32,725979,716286,25.78541445,87.4799727
Chandigarh,40,65268,64408,30.71999697,76.78000565
Chhattisgarh,215,1005464,991681,22.09042035,82.15998734
Dadra and Nagar Haveli and Daman and Diu,2,10672,10666,20.26657819,73.0166178
Delhi,383,1439097,1413626,28.6699929,77.23000403
Goa,779,176924,172822,15.491997,73.81800065
Gujarat,179,826080,815816,23.033863,72.585022
Haryana,273,770961,760813,28.45000633,77.01999101
Himachal Pradesh,1404,220061,214963,31.10002545,77.16659704
Jammu and Kashmir,1090,330252,324736,34.29995933,74.46665849
Jharkhand,101,348314,343078,23.80039349,86.41998572
Karnataka,11648,2979773,2930264,12.57038129,76.91999711
Kerala,119335,4763695,4618408,8.900372741,76.56999263
Ladakh,57,20843,20578,34.152588,77.577049
Lakshadweep,3,10364,10310,10.56257331,72.63686717
Madhya Pradesh,114,792600,781964,21.30039105,76.13001949
Maharashtra,36986,6570472,6394075,19.25023195,73.16017493
Manipur,1752,121578,117950,24.79997072,93.95001705
Meghalaya,1281,82162,79468,25.57049217,91.8800142
Mizoram,16219,103709,87148,23.71039899,92.72001461
Nagaland,313,31397,30416,25.6669979,94.11657019
Odisha,4644,1029994,1017116,19.82042971,85.90001746
Puducherry,655,126806,124307,11.93499371,79.83000037
Punjab,259,601805,585020,31.51997398,75.98000281
Rajasthan,45,954349,945350,26.44999921,74.63998124
Sikkim,367,31603,30848,27.3333303,88.6166475
Tamil Nadu,16513,2674233,2621986,12.92038576,79.15004187
Telangana,4365,667334,659043,17.123184,79.208824
Tripura,142,84223,83266,23.83540428,91.27999914
Uttarakhand,156,343626,336074,29.594189,79.653893
Uttar Pradesh,152,1709917,1686869,27.59998069,78.05000565
West Bengal,7593,1574017,1547548,22.58039044,88.32994665